Name,LastSeen,FirstSeen,NetLastSeen,NetFirstSeen,IpAddress,MacAddress,IsOnline,SerialNumber,HardwareMACAddress,AirWatchID,MerakiID,BatteryLevel,SpaceInternalRemaining,SpaceInternalTotal,IsPosi2_6_0Installed,IsMACRandomizationDisableInstalled
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/5/2024 18:08,1/24/2024 22:22,10.44.2.109,,FALSE,,101EDA5D3638,0,k3f0246,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/23/2023 15:34,10.44.2.106,,TRUE,,101EDA5DA6DB,0,k08416d,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 15:14,10.44.1.101,,TRUE,,101EDA60F2F9,0,k7a3826,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 15:08,10.44.1.105,,TRUE,,101EDA60F4D1,0,k87dcd8,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 15:32,10.44.1.106,,TRUE,,101EDA60F48B,0,k9aa109,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 7:04,3/30/2023 20:53,10.44.1.113,,FALSE,,4AA975AF131C,0,ka6e0c4,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,3/30/2023 20:47,10.44.1.115,,TRUE,,06CAC0A5C364,0,kab6563,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 15:08,10.44.1.104,,TRUE,,101EDA60F3CA,0,k12b2b3,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/29/2024 18:43,10.44.1.109,,TRUE,,101EDA5D3D61,0,kc245cf,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/29/2024 19:24,10.44.1.107,,TRUE,,101EDA5D36AC,0,k264f04,0,0,0,FALSE,FALSE
